Substation,Feeder,Asset type,Asset ID,Amps A,Amps B,Amps C,% OL A,% OL B,% OL C,Rating A,Rating B,Rating C
tyn202,tyn202_sw,Line,tyn202_w_8_140_abc16723,657.272163202382,419.07313729011696,573.4120144115016,196.78807281508443,125.47099918865779,171.68024383577892,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_104_abc29631,653.6568090512259,415.6318004240488,570.3368089475883,195.70563145246285,124.44065880959545,170.75952363700247,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_484_abc29630,653.6574164169624,415.6321959625821,570.3371168079995,195.70581329849176,124.44077723430603,170.75961581077829,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_103_abc53884,650.0253211926503,415.6326299169195,570.3374532493231,194.61835963851803,124.44090716075434,170.7597165417135,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_102_abc53881,650.0261478860964,415.6331696318558,567.239406350262,194.61860715152585,124.44106875205263,169.8321575898988,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_101_abc53820,642.7243508319124,408.745381938206,561.0317567244768,192.43244036883604,122.37885686772634,167.97357985762778,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_100_abc53819,639.0522477114846,405.29277401415965,557.910146920863,191.33300829685166,121.34514192040709,167.03896614397095,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_099_abc71114,605.8258438476314,336.0961912507887,454.98447511054314,181.38498318791358,100.62760217089482,136.22289673968356,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_098_abc69904,605.8269687231042,315.3897947416234,454.9850012127669,181.3853199769773,94.42808225797108,136.22305425531945,334,334,334
tyn202,tyn202_sw,Line,tyn202_x_2_079_abc75650,510.0172469191521,263.74425574274386,414.6778299614192,152.69977452669227,78.96534603076162,124.15503891060456,334,334,334
tyn202,tyn202_sw,Line,tyn202_x_2_078_abc75646,499.016157762719,253.45073342549279,405.45254075269713,149.40603525829908,75.88345312140503,121.39297627326262,334,334,334
tyn202,tyn202_sw,Line,tyn202_x_2_077_abc29637,463.9811534988697,218.81185903457384,324.3884013820887,138.91651302361367,65.51253264508199,97.1222758629008,334,334,334
tyn202,tyn202_sw,Line,tyn202_x_2_267_abc29636,456.68558409687324,211.89752149542244,299.86819851407444,136.73221080744707,63.442371705216296,89.78089775870492,334,334,334
tyn202,tyn202_sw,Line,tyn202_x_2_076_abc29641,434.8267686668396,208.44085104735285,238.72227412031313,130.18765528947293,62.407440433339175,71.47373476656081,334,334,334
tyn202,tyn202_sw,Line,tyn202_x_2_075_abc29647,434.827490073406,194.6152330955706,238.72267417076873,130.18787127946288,58.26803386094929,71.47385454214631,334,334,334
tyn202,tyn202_sw,Line,tyn202_x_2_402_abc1151551,206.36860441141602,20.74623085037118,135.19906124277045,127.38802741445434,12.806315339735297,83.45621064368547,162,162,162
tyn202,tyn202_sw,Line,tyn202_x_2_132_abc53793,206.3687217162743,20.74632517052676,135.19912965426013,127.38809982486067,12.806373562053555,83.45625287300008,162,162,162
tyn202,tyn202_sw,Line,tyn202_x_2_187_abc53797,202.79049457541578,17.287047171341946,123.0748842983264,125.17931763914554,10.671016772433301,75.97215080143604,162,162,162
tyn202,tyn202_sw,Line,tyn202_x_2_016_ac29657,156.58480929721694,0,36.51450047847395,139.8078654439437,0,32.60223257006602,112,0,112
tyn202,tyn202_sw,Line,tyn202_x_2_017_ac29658,142.13119345254398,0,33.46723066906138,126.90285129691428,0,29.881455954519087,112,0,112
tyn202,tyn202_sw,Line,tyn202_x_2_018_ac64745,142.13137426981712,0,33.467666355620196,126.90301274090814,0,29.881844960375176,112,0,112
tyn202,tyn202_sw,Line,tyn202_x_2_019_ac41220,142.1315463945288,0,18.250767270392977,126.90316642368644,0,16.29532791999373,112,0,112
tyn202,tyn202_sw,Line,tyn202_x_2_020_a41221,138.53737168503503,0,0,123.69408186163841,0,0,112,0,0
tyn202,tyn202_sw,Line,tyn202_x_2_021_a64748,120.59736887346106,0,0,107.67622220844737,0,0,112,0,0
tyn202,tyn202_sw,Line,tyn202_x_2_022_a64749,117.0148148352462,0,0,104.47751324575553,0,0,112,0,0
tyn202,tyn202_sw,Transformer,sub_tyn202_rb,0,1805.5076374136295,0,0,118.17868172161938,0,0,1527.7777777777778,0
tyn202,tyn202_sw,Transformer,sub_tyn202_rc,0,0,1732.9736778154197,0,0,113.43100436610018,0,0,1527.7777777777778
