Substation,Feeder,Asset type,Asset ID,Amps A,Amps B,Amps C,% OL A,% OL B,% OL C,Rating A,Rating B,Rating C
tyn202,tyn202_sw,Line,tyn202_w_5_092_abc59958,893.3994901394099,648.4077662357779,384.91403051325045,267.4848772872485,194.1340617472389,115.24372171055404,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_197_a59959,238.23250423854367,0,0,110.29282603636281,0,0,216,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_198_a59947,238.23256860612182,0,0,110.2928558361675,0,0,216,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_172_a59940,234.56390746056385,0,0,108.5944016021129,0,0,216,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_173_a34941,227.2495280724461,0,0,140.2774864644729,0,0,162,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_174_a34952,176.26062370218318,0,0,108.80285413715012,0,0,162,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_175_a1148618,168.9927438352959,0,0,104.31650854030612,0,0,162,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_297_a1148619,168.9930213460433,0,0,104.3166798432366,0,0,162,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_176_a34950,168.99325567355268,0,0,104.31682448984733,0,0,162,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_091_abc59956,655.314852443205,648.4080643642112,384.91416796237985,196.2020516297021,194.13415100724887,115.24376286298799,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_090_abc95844,589.3624888009797,648.408593572165,384.91441215294816,176.4558349703532,194.13430945274405,115.24383597393657,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_089_abc95843,589.3627416662204,648.4087962054414,381.85233919891294,176.4559106785091,194.13437012138962,114.32704766434519,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_207_abc59943,589.3631149434132,648.4090950586047,381.85247647046094,176.45602243814767,194.13445959838464,114.32708876361106,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_087_abc95850,585.7301849339598,610.343859543264,378.79630608734755,175.36831884250293,182.73768249798323,113.41206769082261,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_105_abc95851,585.7305714937247,610.3441657159543,378.79644736056116,175.3684345789595,182.7377741664534,113.41210998819196,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_085_abc59941,585.7310760935864,610.3445649733214,375.7327753463014,175.36858565676238,182.73789370458726,112.49484291805432,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_083_abc95853,574.9084942673389,610.3449897278249,375.73297025004496,172.12829169680805,182.73802087659428,112.49490127246855,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_081_abc59939,574.9090504286515,603.3932483944723,375.73317204561863,172.1284582121711,180.6566611959498,112.49496169030498,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_079_abc34940,574.909901226016,603.3939182647599,375.7334802927845,172.12871294192095,180.65686175591617,112.4950539798756,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_253_abc34939,571.3479974237993,596.4165954483245,375.73377522810506,171.06227467778422,178.56784294860014,112.49514228386379,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_088_abc34942,449.1073941138692,410.7297839902542,274.5600005356007,134.46329165085905,122.97298921863897,82.20359297473074,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_071_abc95862,449.10765064104856,410.7299671060298,274.5600678651239,134.46336845540375,122.97304404372149,82.20361313327064,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_070_abc59722,449.10811250121765,410.7302955860653,274.5601840931814,134.4635067368915,122.97314239103751,82.20364793209023,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_069_abc34975,449.1086488250727,281.7547153498788,274.5603242898365,134.463667312896,84.35769920655054,82.20368990713668,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_068_abc34974,445.5966294052195,271.3700489116787,271.50728625958584,133.4121644925807,81.24851763822714,81.28960666454665,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_067_abc266,445.5970742101756,271.37029875395825,271.5073999252557,133.41229766771724,81.24859244130487,81.28964069618434,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_066_abc265,445.5975143004486,223.04571271762188,271.5075120616449,133.41242943127202,66.78015350827002,81.28967426995357,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_065_abc253,445.59795557748566,223.04591598270255,271.50762415985554,133.4125615501454,66.78021436607861,81.28970783229208,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_093_abc252,445.5983658316704,223.04610510318938,271.50772805615543,133.41268438073962,66.78027098897886,81.2897389389687,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_063_abc1032366,410.7996848261035,223.04630575153132,271.50783785874256,122.99391761260583,66.78033106333274,81.28977181399478,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_062_abc1032367,410.8002513168594,115.2457225401601,271.507982520815,122.99408722061658,34.504707347353325,81.28981512599252,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_061_abc74131,410.8007212136869,115.24566990829605,271.5081019325706,122.99422790828949,34.50469158931019,81.28985087801514,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_133_abc74124,410.80112117829754,115.24562472299766,140.59108059012618,122.99434765817293,34.50467806077774,42.09313790123538,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_030_abc14463,178.84625871719248,55.61678343312226,59.34150211181579,159.68415956892187,49.65784235100202,52.983484028406956,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_5_031_abc14451,178.8463723314281,55.61649708901075,59.341241319975275,159.68426101020367,49.65758668661674,52.98325117854935,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_5_032_abc14452,178.84654088222578,55.616071331316185,59.340853536118566,159.6844115019873,49.65720654581802,52.982904942963,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_5_074_abc14457,178.84676244399583,55.61550991706097,51.832187369959556,159.68460932499627,49.656705283090155,46.27873872317817,112,112,112
