"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
3577, 1651.10700111187, 328.228661162737, 3318.2544453335, 3661.2341360252, 21.8299338304982, 62.2831116365873, 96.7095654363939
3578, 1533.44732829264, 245.769555056011, 3318.2544453335, 3661.2341360252, 18.7753500471722, 53.3331072896799, 96.7095654363939
3579, 1464.86524754401, 200.789788270814, 3318.2544453335, 3661.2341360252, 17.2168983599272, 48.783027288564, 96.7095654363939
3580, 1433.50771517038, 179.032742660091, 3318.2544453335, 3661.2341360252, 16.4991217623207, 46.6806149671383, 96.7095654363939
3581, 1427.29006656915, 174.72806678287, 3318.2544453335, 3661.2341360252, 16.3591310745266, 46.2703213329087, 96.7095654363939
3582, 1453.00771738876, 192.557722583266, 3318.2544453335, 3661.2341360252, 16.9426998033036, 47.9795095634849, 96.7095654363939
3583, 1482.254716307, 212.872294122924, 3318.2544453335, 3661.2341360252, 17.6245614800852, 49.9769582939877, 96.7095654363939
3584, 1629.45293044856, 315.794079927255, 3318.2544453335, 3661.2341360252, 21.3484349323253, 60.8875792453051, 96.7095654363939
3585, 1812.02376915841, 445.033941089128, 3318.2544453335, 3661.2341360252, 26.6497454696861, 76.4237807538482, 96.7095654363939
3586, 1951.19970985918, 544.753112140595, 3318.2544453335, 3661.2341360252, 31.2054853743573, 89.7785415558883, 96.7095654363939
3587, 2019.14052594104, 593.816409473752, 3318.2544453335, 3661.2341360252, 33.592965131922, 96.7784998543206, 96.7095654363939
3588, 2045.24176131123, 612.713828779101, 3318.2544453335, 3661.2341360252, 34.5382613081673, 99.5498889303842, 96.7095654363939
3589, 2029.11278225846, 601.056008111806, 3318.2544453335, 3661.2341360252, 33.953039425395, 97.8346590724409, 96.7095654363939
3590, 2013.29859258421, 589.605118331014, 3318.2544453335, 3661.2341360252, 33.3840150177138, 96.1662308775706, 96.7095654363939
3591, 1994.04363929286, 575.683954663327, 3318.2544453335, 3661.2341360252, 32.6991759614271, 94.1583408523533, 96.7095654363939
3592, 1987.81438368357, 571.174029575498, 3318.2544453335, 3661.2341360252, 32.4791231606785, 93.5129455128063, 96.7095654363939
3593, 1990.00262479238, 572.748307349843, 3318.2544453335, 3661.2341360252, 32.555995946288, 93.7381906863944, 96.7095654363939
3594, 2012.64269874218, 589.100476614674, 3318.2544453335, 3661.2341360252, 33.359543307462, 96.0938287172009, 96.7095654363939
3595, 2024.79251622324, 597.903895575788, 3318.2544453335, 3661.2341360252, 33.796258975209, 97.3744788799915, 96.7095654363939
3596, 2025.82805781885, 598.662801476226, 3318.2544453335, 3661.2341360252, 33.8339131176327, 97.4850749983404, 96.7095654363939
3597, 2138.52196067919, 680.626005360123, 3318.2544453335, 3661.2341360252, 38.0498026916109, 109.847432175361, 96.7095654363939
3598, 2204.42774798763, 725.880431423495, 3318.2544453335, 3661.2341360252, 40.4386843723794, 116.842057217943, 96.7095654363939
3599, 2047.8266419967, 611.665550681184, 3318.2544453335, 3661.2341360252, 34.4517562620728, 99.2844222037445, 96.7095654363939
3600, 1831.21864208285, 455.859959971592, 3318.2544453335, 3661.2341360252, 27.1129289721819, 77.7678369734759, 96.7095654363939
3601, 1644.7921012773, 323.771670438081, 3318.2544453335, 3661.2341360252, 21.6582564865539, 61.7806491596512, 96.7095654363939
3602, 1520.41662794824, 236.669401634622, 3318.2544453335, 3661.2341360252, 18.4561607235783, 52.3979887718652, 96.7095654363939
3603, 1447.16468395249, 188.505116610318, 3318.2544453335, 3661.2341360252, 16.8088091058098, 47.5875617806218, 96.7095654363939
3604, 1407.72130659666, 161.18243886595, 3318.2544453335, 3661.2341360252, 15.9250162519984, 44.9989711455154, 96.7095654363939
3605, 1423.7856305116, 172.303336157156, 3318.2544453335, 3661.2341360252, 16.2805506297811, 46.0399466632066, 96.7095654363939
3606, 1405.45032676681, 159.614267101145, 3318.2544453335, 3661.2341360252, 15.8750078376895, 44.852308536246, 96.7095654363939
3607, 1405.64432465995, 159.750406194939, 3318.2544453335, 3661.2341360252, 15.8791285008122, 44.8642247414531, 96.7095654363939
3608, 1519.45887534025, 238.778137386467, 3318.2544453335, 3661.2341360252, 18.5198668660615, 52.6000392708547, 96.7095654363939
