"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
955, "Line.632670", 410, 410, 102.064398527102, 102.064398527102, 2.40177711982884, 418.46403396112, 189.141245628499, 416.17454541366 
956, "Line.632670", 410, 410, 102.325430499917, 102.325430499917, 2.40177711982884, 419.53426504966, 189.626136950647, 417.241650470361 
978, "Line.632670", 410, 410, 100.291036993071, 100.291036993071, 2.40177711982884, 411.19325167159, 185.893471889386, 408.843582235045 
979, "Transformer.XFM1", 76.3323673207438, 104.089591801014, 100.123334015442, 73.423778277991, 2.40177711982884, 76.4265110944426, 57.5940328342331, 59.2748430787929 
979, "Line.632670", 410, 410, 109.012498598015, 109.012498598015, 2.40177711982884, 446.95124425186, 201.942725181804, 444.97590716742 
980, "Line.632670", 410, 410, 106.635157594216, 106.635157594216, 2.40177711982884, 437.204146136288, 197.544867518115, 435.122631736334 
981, "Line.632670", 410, 410, 101.824166653283, 101.824166653283, 2.40177711982884, 417.479083278461, 188.701958763835, 415.179619470694 
1027, "Line.632670", 410, 410, 104.043050914064, 104.043050914064, 2.40177711982884, 426.576508747662, 192.778601993574, 424.372280532586 
1028, "Line.632670", 410, 410, 101.84540154549, 101.84540154549, 2.40177711982884, 417.56614633651, 188.737400186554, 415.275161235308 
1123, "Line.632670", 410, 410, 100.502135766345, 100.502135766345, 2.40177711982884, 412.058756642015, 186.279659783297, 409.715701392636 
