hour, t(sec), P1 (kW), P2 (kW), P3 (kW)
358, 0.00000, 1244.82, 1060.35, 1190.89
359, 0.00000, 1262.97, 1070.19, 1188.93
360, 0.00000, 1266.4, 1091.2, 1219.4
361, 0.00000, 1267.53, 1100.76, 1211.11
362, 0.00000, 1233.42, 1097.55, 1199.29
363, 0.00000, 1241.48, 1104.66, 1193
364, 0.00000, 1239.2, 1118.15, 1209.73
365, 0.00000, 1247.87, 1118.43, 1219.93
366, 0.00000, 1245.3, 1115.5, 1221.43
367, 0.00000, 1280.57, 1128.58, 1242.93
368, 0.00000, 1270.43, 1116.48, 1234.95
369, 0.00000, 1268.61, 1092.25, 1193.39
370, 0.00000, 1263.49, 1080.09, 1221.73
371, 0.00000, 1248.08, 1036.96, 1186.68
372, 0.00000, 1245.87, 1040.93, 1185.83
373, 0.00000, 1237.26, 1009.07, 1169
374, 0.00000, 1227.31, 1005.51, 1154.07
375, 0.00000, 1215.63, 980.113, 1144.04
376, 0.00000, 1221.23, 995.28, 1151.8
377, 0.00000, 1238.77, 1007.99, 1141.04
378, 0.00000, 1232.53, 1012.21, 1179.63
379, 0.00000, 1225.8, 1019.9, 1176.74
380, 0.00000, 1248.97, 1047.03, 1187.36
381, 0.00000, 1226.73, 1014.3, 1151.63
382, 0.00000, 1236.72, 1046.55, 1171.68
383, 0.00000, 1257.07, 1065.87, 1202.57
384, 0.00000, 1272.79, 1102.05, 1229.04
385, 0.00000, 1272.84, 1102.01, 1206.76
386, 0.00000, 1232.27, 1085.18, 1186.3
387, 0.00000, 1251.84, 1105.51, 1208
388, 0.00000, 1237.26, 1094.21, 1190.31
389, 0.00000, 1242.88, 1099.62, 1199.56
390, 0.00000, 1252.68, 1109.34, 1216.38
391, 0.00000, 1251.51, 1118.27, 1215.95
392, 0.00000, 1260.5, 1103.69, 1213.9
393, 0.00000, 1257.21, 1090.53, 1201.21
394, 0.00000, 1297.4, 1105.03, 1230.76
395, 0.00000, 1272.68, 1064.99, 1209.41
396, 0.00000, 1261.52, 1050.57, 1213.48
397, 0.00000, 1280.4, 1046.16, 1211.11
398, 0.00000, 1267.46, 1044.66, 1194.77
399, 0.00000, 1287.95, 1050.94, 1231.89
400, 0.00000, 1269.31, 1031.4, 1198.66
401, 0.00000, 1282.01, 1028.45, 1210.38
402, 0.00000, 1259.62, 1031.18, 1210.81
403, 0.00000, 1280.77, 1049.37, 1213.97
404, 0.00000, 1267.61, 1042.73, 1213.3
405, 0.00000, 1267.83, 1056.71, 1209.53
406, 0.00000, 1248.39, 1021.12, 1159.62
407, 0.00000, 1237.86, 1039.81, 1155.69
408, 0.00000, 1238.84, 1046.6, 1161.24
409, 0.00000, 1259.26, 1086.91, 1201.79
410, 0.00000, 1260.72, 1083.19, 1198.34
411, 0.00000, 1277.71, 1116.34, 1220.21
412, 0.00000, 1291.27, 1139.62, 1250.54
413, 0.00000, 1273.14, 1140.23, 1236.6
414, 0.00000, 1294.88, 1145.63, 1267.76
415, 0.00000, 1289.36, 1135.87, 1246.42
416, 0.00000, 1286.91, 1116.14, 1237.82
417, 0.00000, 1261.35, 1074.36, 1197.34
418, 0.00000, 1256.96, 1064.5, 1215.59
419, 0.00000, 1246.58, 1041.2, 1197.66
420, 0.00000, 1242.55, 1032.75, 1176.72
421, 0.00000, 1253.74, 1025.17, 1182
422, 0.00000, 1242.05, 1012.85, 1163.78
423, 0.00000, 1246.5, 1007.91, 1172.16
424, 0.00000, 1243.43, 992.805, 1152.6
425, 0.00000, 1251.04, 1005.02, 1184.03
426, 0.00000, 1267, 1036.61, 1190.59
427, 0.00000, 1262.25, 1045.58, 1193.64
428, 0.00000, 1244.53, 1026.2, 1182.97
429, 0.00000, 1258.43, 1054.36, 1186.41
430, 0.00000, 1247.81, 1041.01, 1169.04
431, 0.00000, 1256.47, 1073.64, 1196.54
432, 0.00000, 1267.75, 1084.41, 1201.43
433, 0.00000, 1281.41, 1087.77, 1212.25
434, 0.00000, 1281.07, 1115.81, 1237.05
435, 0.00000, 1287.47, 1146.03, 1253.65
436, 0.00000, 1292.4, 1153.31, 1254.98
437, 0.00000, 1300.85, 1148.57, 1253.45
438, 0.00000, 1306.9, 1164.63, 1268.96
439, 0.00000, 1289.46, 1130.48, 1232.48
440, 0.00000, 1282.46, 1126.51, 1244.37
441, 0.00000, 1269.61, 1086.64, 1204.36
442, 0.00000, 1254.55, 1041.32, 1180.99
443, 0.00000, 1282.11, 1064.98, 1215.32
444, 0.00000, 1298.57, 1073.8, 1226.3
445, 0.00000, 1289.22, 1058.9, 1208.33
446, 0.00000, 1290.54, 1049.04, 1199.59
447, 0.00000, 1290.81, 1045.3, 1209.54
448, 0.00000, 1250.84, 1014.31, 1180.18
449, 0.00000, 1226.86, 996.345, 1152.13
450, 0.00000, 1223.35, 996.603, 1167.68
451, 0.00000, 1287.77, 1079.22, 1244.05
452, 0.00000, 1272.16, 1060.15, 1222.54
453, 0.00000, 1285.07, 1060.85, 1200.83
454, 0.00000, 1278.52, 1081.25, 1215.45
455, 0.00000, 1243.76, 1029.22, 1164.45
456, 0.00000, 1246.1, 1065.23, 1184.38
457, 0.00000, 1264.51, 1085.16, 1209.75
458, 0.00000, 1254.07, 1082.18, 1195.93
459, 0.00000, 1264.6, 1114.25, 1212.46
460, 0.00000, 1275.63, 1119.11, 1229.97
461, 0.00000, 1269.01, 1111.9, 1221.88
462, 0.00000, 1279.55, 1131.29, 1250.43
463, 0.00000, 1269.89, 1120.28, 1240.06
464, 0.00000, 1250.15, 1085.99, 1209.81
465, 0.00000, 1283.99, 1086.4, 1224.37
466, 0.00000, 1290.57, 1075.29, 1228.43
467, 0.00000, 1284.49, 1089.74, 1267.21
468, 0.00000, 1281.98, 1069.81, 1239.69
469, 0.00000, 1272.11, 1058.74, 1217.84
470, 0.00000, 1262.74, 1034.78, 1210.12
471, 0.00000, 1268.43, 1056.17, 1240.2
472, 0.00000, 1272.35, 1053.14, 1228.35
473, 0.00000, 1278.86, 1057.39, 1226.04
474, 0.00000, 1278.81, 1053.52, 1228.2
475, 0.00000, 1261.36, 1025.92, 1209.07
476, 0.00000, 1243.04, 1033.93, 1200.3
477, 0.00000, 1261.51, 1047.99, 1213.67
478, 0.00000, 1243.42, 1020.83, 1157.05
479, 0.00000, 1253.97, 1044.66, 1181.7
480, 0.00000, 1266.24, 1062.91, 1195.56
481, 0.00000, 1226.66, 1043.4, 1169.37
482, 0.00000, 1252.07, 1095.54, 1203.48
483, 0.00000, 1255.21, 1092.65, 1200.27
484, 0.00000, 1260.69, 1091.63, 1196.23
485, 0.00000, 1239.89, 1084.05, 1192.92
486, 0.00000, 1255.9, 1082.61, 1219.15
487, 0.00000, 1292.09, 1117.73, 1265.08
488, 0.00000, 1289.14, 1093.79, 1222.42
489, 0.00000, 1285.29, 1067, 1211.76
490, 0.00000, 1261.31, 1031.61, 1218.65
491, 0.00000, 1244.14, 1006.32, 1160.57
492, 0.00000, 1239.64, 999.279, 1173.83
493, 0.00000, 1242.74, 994.641, 1156.03
494, 0.00000, 1242.68, 979.975, 1160.8
495, 0.00000, 1248.57, 973.519, 1165.07
496, 0.00000, 1262.82, 1006.62, 1176.4
497, 0.00000, 1267.81, 998.07, 1195.08
498, 0.00000, 1282.04, 1032.52, 1217.16
499, 0.00000, 1276.77, 1038.79, 1219.98
500, 0.00000, 1257.81, 1027.95, 1203.18
501, 0.00000, 1260.92, 1036.61, 1182.12
502, 0.00000, 1261.76, 1045.09, 1200.04
503, 0.00000, 1227.37, 1020.74, 1153.2
504, 0.00000, 1248.99, 1040.54, 1180.38
505, 0.00000, 1239.52, 1059.45, 1186.23
506, 0.00000, 1248.46, 1072.13, 1191.6
507, 0.00000, 1256.39, 1075.71, 1197.12
508, 0.00000, 1259.37, 1088.86, 1212.66
509, 0.00000, 1276.25, 1101.99, 1226.99
510, 0.00000, 1265.25, 1081.98, 1220.79
511, 0.00000, 1259.3, 1077.95, 1212.03
512, 0.00000, 1265.59, 1091.85, 1219.72
513, 0.00000, 1293.04, 1080.2, 1232.99
514, 0.00000, 1281.89, 1035.7, 1198.35
515, 0.00000, 1261.77, 1030.18, 1197.15
516, 0.00000, 1281.99, 1058.28, 1221.09
517, 0.00000, 1283.34, 1034.87, 1192.12
518, 0.00000, 1240.53, 986.934, 1147.8
519, 0.00000, 1248.32, 986.605, 1166.75
520, 0.00000, 1229.1, 980.939, 1151.61
521, 0.00000, 1249.25, 1043.06, 1205.36
522, 0.00000, 1262.7, 1036.88, 1199.5
523, 0.00000, 1261.94, 1063.37, 1214.17
524, 0.00000, 1246.59, 1025.03, 1202.09
525, 0.00000, 1243.4, 1030, 1180.74
526, 0.00000, 1252.05, 1043.89, 1181.77
527, 0.00000, 1263.08, 1060.2, 1181.2
528, 0.00000, 1267.56, 1083.48, 1222.3
529, 0.00000, 1286.05, 1113.6, 1225.24
530, 0.00000, 1292.28, 1127.51, 1246.26
531, 0.00000, 1295.73, 1142.32, 1233.7
532, 0.00000, 888.162, 741.683, 844.51
533, 0.00000, 915.948, 754.173, 854.063
534, 0.00000, 906.106, 763.254, 888.707
535, 0.00000, 1017.24, 859.707, 982.349
536, 0.00000, 1034.34, 866.745, 990.551
537, 0.00000, 1103.89, 931.482, 1042.42
538, 0.00000, 1072.85, 886.75, 1026.34
539, 0.00000, 1110.34, 917.602, 1072.34
540, 0.00000, 1112.84, 922.779, 1058.33
541, 0.00000, 1135.73, 918.615, 1077.89
542, 0.00000, 1143.15, 922.455, 1083.76
543, 0.00000, 1129.64, 897.846, 1060.41
544, 0.00000, 1094.32, 871.933, 1031
545, 0.00000, 1121.21, 882.767, 1052.71
546, 0.00000, 1064.76, 852.354, 1020.37
547, 0.00000, 1081.61, 864.517, 1010.49
548, 0.00000, 1080.58, 871.26, 1031.56
549, 0.00000, 1090.39, 869.627, 1038.5
550, 0.00000, 1033.26, 835.021, 974.027
551, 0.00000, 1014.06, 811.724, 957.261
552, 0.00000, 976.951, 798.771, 919.071
553, 0.00000, 925.164, 764.65, 869.018
554, 0.00000, 958.808, 792.656, 902.729
555, 0.00000, 908.3, 758.242, 851.625
556, 0.00000, 927.401, 784.925, 871.692
557, 0.00000, 962.733, 820.657, 926.386
558, 0.00000, 978.901, 835.753, 953.302
